feature,importance
n_gxs_change,0
n_gxs_log,0
high_competition,0
has_generics,0
is_equilibrium,0
is_first_6_months,0
is_high_hospital_rate,0
is_retail_focused,0
time_bucket_encoded,0
decay_phase,0
is_months_12_plus,0
is_months_6_11,0
is_early_period,0
months_postgx_cubed,0
early_high_competition,0
is_high_erosion_area,0
biological_x_months,0
early_post_std,0
early_post_min,0
scenario_flag,0
is_late_post,0
early_post_last,0
early_erosion_ratio,0
early_post_slope,0
is_pre_entry,0
is_mid_post,0
is_early_post,0
high_erosion_early,0
pre_loe_growth_flag,1
is_low_erosion_area,1
n_gxs_squared,1
months_postgx_log,1
n_gxs_cummax,2
n_gxs_change_3m,2
early_post_mean,2
main_package_encoded,2
months_postgx_sqrt,2
is_late_period,3
n_gxs_capped,3
is_mid_period,3
log_avg_vol,5
early_post_max,6
ther_area_mean_erosion,6
hospital_rate_bucket_encoded,7
hospital_rate_squared,9
months_postgx_squared,9
ther_area_encoded,10
pre_entry_last_volume,21
ther_area_erosion_rank,21
quarter,22
n_gxs,24
pre_entry_max,35
competition_x_hospital,36
months_postgx,38
months_with_generics,45
volume_rolling_std_6,50
time_x_competition,54
hospital_rate,59
volume_rolling_max_12,62
volume_lag_6,64
volume_rolling_mean_6,67
volume_lag_3,67
time_x_n_gxs_log,71
pre_entry_volatility,73
pre_entry_min,79
country_encoded,79
volume_rolling_std_12,80
volume_lag_12,82
volume_rolling_min_12,83
volume_rolling_mean_12,87
time_x_hospital,91
volume_rolling_max_6,92
ther_erosion_x_time,98
competition_intensity,102
pre_entry_slope,102
volume_diff_3,110
volume_rolling_min_6,114
volume_diff_6,162
pre_entry_growth_rate,162
volume_lag_1,182
volume_pct_change_3,200
volume_pct_change_1,256
volume_rolling_max_3,258
volume_rolling_std_3,271
volume_diff_1,318
volume_rolling_min_3,464
volume_rolling_mean_3,490
erosion_rate_3m,644
