feature,importance
erosion_3_5,28.912765962635103
erosion_0_5,6.405360837123818
trend_0_5_norm,5.388926560748036
first_generic_month,2.8271146912826035
country_encoded,2.7541402554451415
pre_entry_trend_norm,2.0066527523251487
vol_ratio_6m_12m,1.9051949500156362
ther_area_encoded,1.897343531549899
time_decay,1.8259961291431146
sqrt_months_postgx,1.7936489467450079
time_decay_fast,1.6647727779345662
month_0_to_3_change,1.5302909462154273
vol_ratio_3m_6m,1.5023305988628848
erosion_0_2,1.4972649968901643
seasonal_q2_effect,1.4878072942006104
drop_month_0,1.48748803183856
month_3_to_5_change,1.4326005959617205
hospital_rate_x_time,1.389877287611501
seasonal_q3_effect,1.2320937257294446
seasonal_q4_effect,1.1983262478886723
pre_entry_max_ratio,1.0678467296937788
vol_ratio_3m_12m,1.038787665612115
hospital_rate,1.0375244802440506
seasonal_ratio,1.0204387069746639
hospital_rate_norm,1.0160709833989912
seasonal_amplitude,0.9889626774699924
seasonal_q1_effect,0.9540443598250228
recovery_magnitude,0.9105883452485167
is_late,0.8521222140540003
volume_growth_rate,0.8343818148581682
erosion_per_generic,0.8254445482027418
is_mid,0.7284967542183224
pre_entry_min_ratio,0.7135847254765773
trend_0_5,0.6899483563950296
n_gxs_change_to_12,0.6895110765995798
log_n_gxs,0.656677290302339
hospital_rate_missing,0.6107534231302446
avg_vol_3_5,0.6083811650691541
competition_response,0.5952892808508633
month_sin,0.5737501685776132
expected_new_generics,0.5704664925385426
n_gxs_change_to_23,0.5620810956391298
pre_entry_volatility,0.5485512604127096
pre_entry_trend,0.5073250570246426
n_gxs,0.4965694355508049
biological,0.48420965188448684
log_n_gxs_at_entry,0.47494801267810294
pre_entry_range_ratio,0.46468350344276327
seasonal_peak_month,0.44621854752769274
avg_vol_3m,0.404826904717267
main_package,0.38699957136551066
n_gxs_at_entry,0.38017898761664576
log_avg_vol,0.36540151104878005
n_gxs_max_forecast,0.35864285687807773
months_since_first_generic,0.3515958827516983
months_postgx_sq,0.34880198432608317
avg_vol_0_5,0.34079277744947767
month_of_year,0.3357442777871943
pre_entry_max,0.30828970659925237
month_cos,0.28598456458140437
main_package_encoded,0.2840888037337742
generic_entry_speed,0.28257529438012513
avg_vol_6m,0.27170840879208885
is_q3,0.26504683569189397
ther_area,0.2587120104451712
log_n_gxs_max_forecast,0.25235252185615414
seasonal_trough_month,0.24705585680526265
n_gxs_at_month_12,0.2383147930931857
avg_vol_0_2,0.22971992233919727
n_gxs_pre_cutoff_max,0.20472937901673938
log_avg_vol_3m,0.1910629043842853
is_retail_drug,0.1730426930251828
quarter,0.17107530191041662
hospital_rate_bin,0.1625659166011353
many_generics,0.16039451902324867
log_n_gxs_at_month_23,0.15981350567871594
pre_entry_min,0.1580665151099375
small_molecule,0.15624210797786367
is_oral,0.15546156924306817
log_avg_vol_6m,0.1214282059592839
multiple_generics,0.12125146368439875
months_postgx_cube,0.11695688669695264
log_n_gxs_at_month_12,0.10840550557987347
is_year_end,0.1056249897977635
has_generic,0.09917781915577356
n_gxs_bin,0.07734752502892982
is_q4,0.07379347370366926
biological_x_n_gxs,0.0543703987236941
n_gxs_at_month_23,0.05047243768362179
is_q1,0.0276522152917692
is_injection,0.0217908729461456
recovery_signal,0.017456922846362126
is_q2,0.004081227696353827
is_year_start,0.003247227928791878
pre_entry_months_available,0.0
small_molecule_missing,0.0
biological_missing,0.0
is_hospital_drug,0.0
is_post_entry,0.0
had_generic_pre_entry,0.0
is_early,0.0
