feature,importance
erosion_3_5,30.50801791332638
erosion_0_5,6.761407769184896
trend_0_5_norm,5.486009688506238
first_generic_month,2.986749927193848
country_encoded,2.5954777334211228
pre_entry_trend_norm,1.9495235580111572
time_decay,1.920096388785514
ther_area_encoded,1.9050492652068707
sqrt_months_postgx,1.895144786247311
vol_ratio_6m_12m,1.7846105812987367
time_decay_fast,1.703472631254474
month_3_to_5_change,1.4744237438625625
drop_month_0,1.440825217788561
erosion_0_2,1.4324090545833712
vol_ratio_3m_6m,1.4266030257213493
month_0_to_3_change,1.361551321296406
hospital_rate_x_time,1.3105028985182854
seasonal_q2_effect,1.2852122073049983
seasonal_q3_effect,1.0765303972947602
vol_ratio_3m_12m,1.0382335284674067
hospital_rate,1.0045873541678998
hospital_rate_norm,1.004491496036482
seasonal_q4_effect,0.9797006296379911
seasonal_amplitude,0.95581385552865
pre_entry_max_ratio,0.9499425718687781
seasonal_ratio,0.9161670817272101
recovery_magnitude,0.9095982828333123
is_late,0.9070576577017662
volume_growth_rate,0.8565855397706145
seasonal_q1_effect,0.8287191958775079
erosion_per_generic,0.77660637031414
is_mid,0.7687167938593334
n_gxs_change_to_12,0.7134439172846817
trend_0_5,0.7058435694318964
log_n_gxs,0.6658453008925693
avg_vol_3_5,0.6240557285613294
competition_response,0.5982114673853153
n_gxs_change_to_23,0.5975738718393563
expected_new_generics,0.5948365127904665
hospital_rate_missing,0.5905836254522584
pre_entry_min_ratio,0.5742981750064596
month_sin,0.5369753767841546
log_n_gxs_at_entry,0.5018930119051213
n_gxs,0.4904959271224887
pre_entry_range_ratio,0.4414442142352185
pre_entry_volatility,0.41380264514851234
main_package,0.4119490361181245
biological,0.4028548798239014
seasonal_peak_month,0.3850477315699487
n_gxs_at_entry,0.3840526649999094
n_gxs_max_forecast,0.3817641933821051
log_avg_vol,0.3817149619893774
months_postgx_sq,0.37128888988744924
pre_entry_trend,0.37019547070343656
avg_vol_3m,0.3663047103254562
avg_vol_0_5,0.3528500886226052
months_since_first_generic,0.3373225487144258
generic_entry_speed,0.3007926332836811
month_of_year,0.30063727226421505
avg_vol_6m,0.28922517074670206
log_n_gxs_max_forecast,0.2686214296667441
month_cos,0.2665992615289103
is_q3,0.2595062484992836
n_gxs_at_month_12,0.2536787029531509
main_package_encoded,0.24022876950912378
pre_entry_max,0.23997127539121957
avg_vol_0_2,0.2322033105843298
seasonal_trough_month,0.21626933422230432
n_gxs_pre_cutoff_max,0.20424180357485264
is_retail_drug,0.18419857765599953
hospital_rate_bin,0.1730463742200035
many_generics,0.17073498887122024
log_n_gxs_at_month_23,0.17011651819331355
is_oral,0.16548401688695108
quarter,0.16368462406190123
pre_entry_min,0.16108475713174103
small_molecule,0.1357161748735091
log_avg_vol_3m,0.13385145131766824
log_avg_vol_6m,0.12925655763901467
multiple_generics,0.12906842097125723
log_n_gxs_at_month_12,0.11539429714600122
has_generic,0.10557171125890213
is_year_end,0.10186314349303342
months_postgx_cube,0.09405383776550198
ther_area,0.08384138884384411
is_q4,0.07855086313603056
n_gxs_bin,0.06847151986252184
n_gxs_at_month_23,0.053726343884403296
biological_x_n_gxs,0.04535467494522184
is_injection,0.023195708136479865
is_q1,0.020888584549940553
recovery_signal,0.018582352726575234
is_q2,0.004344340252779376
is_year_start,0.0034565733770755354
biological_missing,0.0
is_early,0.0
small_molecule_missing,0.0
is_hospital_drug,0.0
is_post_entry,0.0
had_generic_pre_entry,0.0
pre_entry_months_available,0.0
