feature,importance
erosion_3_5,16925.73737001419
erosion_0_5,951.3560887277126
trend_0_5_norm,831.4650457799435
time_decay,531.4140292406082
recovery_magnitude,422.38451969623566
is_mid,393.94707798957825
first_generic_month,365.2823650240898
erosion_0_2,349.04911440610886
drop_month_0,241.08806186914444
seasonal_q2_effect,230.02440959215164
vol_ratio_6m_12m,223.0486695766449
ther_area,216.01677018404007
month_0_to_3_change,215.426625341177
country_encoded,214.53588020801544
vol_ratio_3m_6m,192.55486157536507
month_3_to_5_change,191.42067551612854
hospital_rate,188.45123225450516
seasonal_q3_effect,181.0375176370144
seasonal_q4_effect,178.58625274896622
volume_growth_rate,174.83540976047516
pre_entry_trend_norm,156.53445613384247
hospital_rate_x_time,151.4575611948967
seasonal_q1_effect,146.67294228076935
time_decay_fast,140.84111982584
competition_response,137.85739928483963
is_late,136.98826146125793
pre_entry_min_ratio,135.67793127894402
seasonal_amplitude,106.48106515407562
n_gxs_change_to_12,102.43614891171455
erosion_per_generic,101.27648681402206
expected_new_generics,89.53154599666595
n_gxs,86.42675364017487
trend_0_5,86.03048285841942
pre_entry_range_ratio,85.84681650996208
pre_entry_volatility,84.59665101766586
pre_entry_trend,71.446662068367
ther_area_encoded,67.43177190423012
month_sin,65.90766721963882
pre_entry_max_ratio,65.88202512264252
pre_entry_min,58.14081299304962
month_of_year,57.24584186077118
seasonal_ratio,54.341072887182236
months_since_first_generic,49.40717628598213
hospital_rate_norm,48.875481098890305
hospital_rate_missing,45.61324471235275
vol_ratio_3m_12m,45.523403972387314
sqrt_months_postgx,43.45322984457016
n_gxs_at_entry,42.102395206689835
avg_vol_6m,39.33472493290901
seasonal_peak_month,33.7344454228878
seasonal_trough_month,32.287477850914
avg_vol_3m,30.67031580209732
main_package,30.510760188102722
avg_vol_3_5,30.02042806148529
pre_entry_max,27.238808155059814
avg_vol_0_5,26.198055863380432
n_gxs_at_month_12,25.545741230249405
n_gxs_pre_cutoff_max,22.90340518951416
avg_vol_0_2,22.79721701145172
n_gxs_change_to_23,20.288506984710693
is_q3,19.58503407239914
log_avg_vol,17.91454315185547
is_injection,17.665340065956116
biological,15.62392395734787
month_cos,14.429426848888397
small_molecule,13.45495891571045
log_n_gxs,13.442646026611328
months_postgx_cube,11.18018090724945
log_n_gxs_at_entry,9.925259947776794
biological_x_n_gxs,8.031471073627472
generic_entry_speed,5.784546136856079
months_postgx_sq,4.639860033988953
many_generics,3.7992151379585266
log_avg_vol_3m,3.2160369157791138
multiple_generics,2.7563000917434692
n_gxs_at_month_23,2.6997340321540833
n_gxs_max_forecast,1.9548839926719666
is_year_end,1.8226909637451172
log_avg_vol_6m,1.0792800188064575
has_generic,0.8853819966316223
log_n_gxs_at_month_12,0.8656079769134521
quarter,0.5692189931869507
is_retail_drug,0.5598030090332031
pre_entry_months_available,0.0
small_molecule_missing,0.0
recovery_signal,0.0
biological_missing,0.0
is_hospital_drug,0.0
is_post_entry,0.0
is_early,0.0
main_package_encoded,0.0
is_oral,0.0
hospital_rate_bin,0.0
log_n_gxs_max_forecast,0.0
log_n_gxs_at_month_23,0.0
is_q1,0.0
is_q2,0.0
n_gxs_bin,0.0
had_generic_pre_entry,0.0
is_q4,0.0
is_year_start,0.0
