feature,importance
country_encoded,0.34500647
months_postgx_cube,0.3393673
hospital_rate,0.33332017
hospital_rate_x_time,0.2963481
n_gxs,0.25529206
n_gxs_at_month_12,0.22199285
n_gxs_max_forecast,0.21823327
n_gxs_at_month_23,0.21708047
sqrt_months_postgx,0.2061869
n_gxs_bin,0.16298454
ther_area_encoded,0.16149934
ther_area,0.15513553
n_gxs_at_entry,0.15241487
n_gxs_change_to_12,0.14678967
n_gxs_change_to_23,0.1430937
expected_new_generics,0.14046066
log_n_gxs,0.13410611
log_n_gxs_at_month_23,0.10822287
is_early,0.107109435
log_n_gxs_at_month_12,0.10412947
log_n_gxs_max_forecast,0.10380121
is_late,0.10009353
pre_entry_trend,0.09727289
multiple_generics,0.09435836
time_decay_fast,0.0941283
time_decay,0.092232585
log_n_gxs_at_entry,0.08943251
months_postgx_sq,0.08611562
seasonal_trough_month,0.08598637
has_generic,0.08474182
hospital_rate_bin,0.083003186
many_generics,0.081316054
main_package,0.07665693
pre_entry_range_ratio,0.07438848
main_package_encoded,0.07346445
pre_entry_max_ratio,0.07216973
is_hospital_drug,0.0659398
is_retail_drug,0.06531477
pre_entry_min,0.0651461
seasonal_ratio,0.06480151
hospital_rate_norm,0.06449851
log_avg_vol_3m,0.06394677
log_avg_vol,0.062315967
log_avg_vol_6m,0.062182408
seasonal_peak_month,0.060615424
biological_x_n_gxs,0.05886732
is_q4,0.058673177
seasonal_amplitude,0.05834624
avg_vol_3m,0.058183625
is_q2,0.05809431
small_molecule,0.057724155
avg_vol_6m,0.057340607
is_oral,0.057215072
is_mid,0.057198137
is_q1,0.056663744
is_year_start,0.05594451
month_sin,0.055929296
quarter,0.055835575
pre_entry_min_ratio,0.055835098
month_cos,0.05568947
biological,0.055354804
first_generic_month,0.055333365
seasonal_q1_effect,0.05501384
pre_entry_volatility,0.054884847
had_generic_pre_entry,0.05482676
small_molecule_missing,0.0544654
is_year_end,0.054318823
seasonal_q4_effect,0.05428432
month_of_year,0.05425658
pre_entry_trend_norm,0.053965677
vol_ratio_6m_12m,0.053834915
volume_growth_rate,0.053818703
n_gxs_pre_cutoff_max,0.053719405
pre_entry_months_available,0.053573355
is_injection,0.053515032
hospital_rate_missing,0.053231295
months_since_first_generic,0.05302834
vol_ratio_3m_6m,0.05290631
seasonal_q3_effect,0.052585524
is_q3,0.05246533
is_post_entry,0.05219389
generic_entry_speed,0.05206584
vol_ratio_3m_12m,0.052029252
seasonal_q2_effect,0.052022275
biological_missing,0.050245453
pre_entry_max,0.043484394
