feature,importance
log_avg_vol,0.22916081969234853
log_avg_vol_6m,0.21183641371488549
trend_0_5_norm,0.1484645171572273
n_gxs_change_to_23,0.1304074452525681
n_gxs_change_to_12,0.12941426649187884
log_n_gxs_at_month_12,0.10811231223299818
log_n_gxs,0.09235205538297217
avg_vol_3m,0.08077650440341096
erosion_0_2,0.07455446659769094
pre_entry_min,0.07308040487338302
log_n_gxs_at_month_23,0.06312402243178135
log_n_gxs_max_forecast,0.0631240224317786
drop_month_0,0.04983412100023288
vol_ratio_3m_6m,0.04807446124973885
vol_ratio_6m_12m,0.04495216988836351
sqrt_months_postgx,0.043179338973036996
n_gxs_at_month_23,0.042964550927083595
n_gxs_max_forecast,0.04296455092706252
time_decay,0.04024477796573328
avg_vol_3_5,0.039160486089253495
n_gxs_at_month_12,0.03678750212344975
erosion_0_5,0.03495057315617639
time_decay_fast,0.03118799602179388
volume_growth_rate,0.028344203675626033
vol_ratio_3m_12m,0.02834336174985846
avg_vol_0_2,0.02762140756819002
log_n_gxs_at_entry,0.026751648171941037
avg_vol_6m,0.025751400630311474
hospital_rate_x_time,0.023533175452218173
is_oral,0.023096506888420715
log_avg_vol_3m,0.020076114532078106
has_generic,0.019955854921233095
month_3_to_5_change,0.019588123404601962
is_year_end,0.01679153485435127
first_generic_month,0.01660415602396715
country_encoded,0.015317575665224169
main_package_encoded,0.014490717276153236
biological,0.013987516305968666
n_gxs,0.013425308123818569
seasonal_amplitude,0.011893631323732603
is_q4,0.011736505928921465
ther_area_encoded,0.011466121320084581
month_sin,0.011142403730002956
hospital_rate_missing,0.01017555154212338
pre_entry_max,0.008965285660850293
competition_response,0.008444404810813167
month_0_to_3_change,0.008313795572897261
many_generics,0.0075563722962123285
is_year_start,0.007450301718024814
quarter,0.0073312374344850564
biological_x_n_gxs,0.006908643357961303
seasonal_q1_effect,0.006778858941553894
is_q3,0.006756799890019729
trend_0_5,0.006642387237770867
expected_new_generics,0.006488899435691061
multiple_generics,0.0064510202290165965
seasonal_trough_month,0.006144301992476054
is_hospital_drug,0.0058591305789999605
month_cos,0.005847726246669552
recovery_signal,0.005535260344791497
seasonal_peak_month,0.005282501329961347
is_late,0.0052277610101837445
is_mid,0.005227761010142673
pre_entry_trend,0.004918741020814117
seasonal_ratio,0.004458606500537228
seasonal_q2_effect,0.003328310728749087
hospital_rate,0.003318989564415814
hospital_rate_norm,0.0033189895639459573
erosion_per_generic,0.003314809682440271
n_gxs_pre_cutoff_max,0.0032837338822904417
generic_entry_speed,0.0032837338816631236
is_retail_drug,0.0032045808089560725
pre_entry_trend_norm,0.003183538798530516
seasonal_q4_effect,0.0030608450707168195
n_gxs_at_entry,0.0029152273676532918
is_q2,0.0025818683263378423
avg_vol_0_5,0.002494687499403506
pre_entry_range_ratio,0.0024520453942142406
pre_entry_max_ratio,0.002442337047529191
small_molecule,0.0023135059451031502
is_q1,0.0022479464801734997
months_since_first_generic,0.0020730411060324175
recovery_magnitude,0.0016866933905626904
pre_entry_volatility,0.001643508324638959
month_of_year,0.0015122776433953004
pre_entry_min_ratio,0.0009289067256485994
months_postgx_cube,0.0007198385253379066
erosion_3_5,0.00040169399033596325
months_postgx_sq,0.0002776573465614983
seasonal_q3_effect,0.00020605843608175375
is_injection,0.00011839275116600101
pre_entry_months_available,0.0
small_molecule_missing,0.0
biological_missing,0.0
is_early,0.0
is_post_entry,0.0
had_generic_pre_entry,0.0
