feature,importance
erosion_3_5,28.390345234726052
erosion_0_5,6.874597781563661
trend_0_5_norm,5.020655313429703
sqrt_months_postgx,3.8395655133492594
time_decay_fast,3.3409202516589485
time_decay,3.0853856021877637
first_generic_month,2.6586461302962037
country_encoded,2.5923643974946358
ther_area_encoded,2.0909348919229407
vol_ratio_6m_12m,1.7929619123352118
pre_entry_trend_norm,1.712466518556831
vol_ratio_3m_6m,1.4948808468786272
hospital_rate,1.4112311547890475
month_0_to_3_change,1.387394066448154
drop_month_0,1.3647009180258374
seasonal_q2_effect,1.3502940013423927
is_mid,1.3306928749835132
recovery_magnitude,1.32361985515231
erosion_0_2,1.320195143966717
seasonal_q4_effect,1.1623918457750653
