feature,importance
country_encoded,21.8000069472703
hospital_rate_norm,6.072320211610971
hospital_rate,6.067408934528071
ther_area_encoded,6.019626642071839
log_n_gxs,4.4049242727028615
hospital_rate_x_time,3.9329769627102946
main_package_encoded,2.6066198545642356
pre_entry_max,2.236621403521093
log_avg_vol,2.1729765590819463
log_avg_vol_3m,2.1463727793575313
log_avg_vol_6m,2.1130114553517885
n_gxs,2.0336010626752485
time_decay_fast,1.9855024259980942
pre_entry_min,1.9503208968499175
hospital_rate_bin,1.9268887142865998
multiple_generics,1.9087935045800628
avg_vol_3m,1.8537055851234305
avg_vol_6m,1.7344276982894908
expected_new_generics,1.7230592141807495
n_gxs_change_to_23,1.7090846932002606
months_postgx_sq,1.640137876042876
time_decay,1.5658224863199635
small_molecule,1.3891455000379385
months_postgx_cube,1.33362468832043
hospital_rate_missing,1.2588862160439962
n_gxs_bin,1.249979172569968
is_oral,1.217479793972183
n_gxs_at_entry,1.2000148455406132
n_gxs_change_to_12,1.1888882409122994
n_gxs_max_forecast,1.1123769368973428
log_n_gxs_at_entry,1.0960074572372411
sqrt_months_postgx,1.0137885069655836
n_gxs_at_month_23,0.8285991951851069
n_gxs_at_month_12,0.7625741300113276
is_late,0.7587015997636605
log_n_gxs_at_month_12,0.7150987678663852
log_n_gxs_at_month_23,0.6693900046496412
has_generic,0.6526023812751454
log_n_gxs_max_forecast,0.6430109668301651
is_injection,0.5816192879890267
biological,0.4706164823729208
is_early,0.4537410467977621
is_retail_drug,0.4142786979315391
biological_x_n_gxs,0.3240126736965653
month_sin,0.21429932179829966
is_q3,0.1974930562176635
is_mid,0.18177493485102494
many_generics,0.13229892986022712
month_of_year,0.10915786984211653
month_cos,0.1063958564660841
is_year_end,0.07014301775453086
quarter,0.03315093724576109
is_q4,0.010152903481681439
is_hospital_drug,0.0050496588782070065
is_q2,0.001436740419911743
months_since_first_generic,0.0
biological_missing,0.0
pre_entry_max_ratio,0.0
pre_entry_min_ratio,0.0
pre_entry_range_ratio,0.0
pre_entry_trend,0.0
volume_growth_rate,0.0
vol_ratio_6m_12m,0.0
vol_ratio_3m_12m,0.0
n_gxs_pre_cutoff_max,0.0
vol_ratio_3m_6m,0.0
is_post_entry,0.0
had_generic_pre_entry,0.0
first_generic_month,0.0
pre_entry_trend_norm,0.0
is_q1,0.0
pre_entry_months_available,0.0
is_year_start,0.0
small_molecule_missing,0.0
pre_entry_volatility,0.0
