iter	Passed	Remaining
0	74	37126
1	94	23478
2	111	18517
3	130	16124
4	148	14714
5	164	13518
6	181	12774
7	199	12278
8	221	12103
9	242	11881
10	263	11715
11	283	11547
12	312	11699
13	333	11590
14	353	11435
15	377	11413
16	398	11320
17	419	11223
18	438	11102
19	457	10968
20	473	10793
21	489	10634
22	509	10569
23	527	10459
24	545	10361
25	562	10263
26	579	10148
27	597	10064
28	615	9998
29	634	9942
30	652	9870
31	670	9799
32	687	9735
33	705	9665
34	725	9632
35	741	9563
36	760	9521
37	780	9484
38	800	9461
39	819	9429
40	838	9388
41	856	9343
42	874	9298
43	894	9268
44	914	9242
45	933	9216
46	951	9170
47	968	9122
48	985	9074
49	1002	9020
50	1019	8978
51	1058	9118
52	1101	9291
53	1152	9515
54	1171	9481
55	1196	9486
56	1214	9441
57	1237	9433
58	1256	9391
59	1274	9348
60	1293	9306
61	1312	9271
62	1329	9224
63	1349	9190
64	1368	9157
65	1388	9132
66	1406	9091
67	1423	9046
68	1441	9002
69	1458	8958
70	1475	8916
71	1492	8874
72	1511	8840
73	1528	8799
74	1545	8756
75	1563	8721
76	1582	8691
77	1600	8660
78	1619	8630
79	1637	8599
80	1654	8556
81	1672	8524
82	1689	8490
83	1707	8454
84	1726	8428
85	1743	8395
86	1761	8362
87	1780	8333
88	1797	8302
89	1816	8273
90	1834	8244
91	1853	8221
92	1872	8196
93	1892	8172
94	1911	8149
95	1927	8112
96	1944	8080
97	1961	8046
98	1979	8018
99	1997	7991
100	2017	7968
101	2037	7949
102	2057	7931
103	2077	7911
104	2097	7889
105	2115	7863
106	2135	7842
107	2151	7810
108	2169	7781
109	2188	7757
110	2213	7758
111	2240	7760
112	2262	7747
113	2281	7726
114	2300	7701
115	2319	7679
116	2341	7665
117	2366	7662
118	2390	7652
119	2412	7639
120	2430	7611
121	2449	7590
122	2467	7561
123	2486	7538
124	2508	7525
125	2533	7521
126	2552	7497
127	2570	7470
128	2588	7444
129	2605	7416
130	2626	7397
131	2646	7377
132	2664	7351
133	2680	7322
134	2698	7295
135	2714	7266
136	2731	7237
137	2748	7210
138	2766	7184
139	2783	7156
140	2804	7140
141	2828	7131
142	2847	7108
143	2867	7088
144	2885	7065
145	2904	7041
146	2920	7012
147	2937	6987
148	2954	6960
149	2973	6939
150	2991	6914
151	3010	6891
152	3028	6868
153	3046	6845
154	3063	6819
155	3081	6794
156	3097	6766
157	3113	6738
158	3132	6718
159	3150	6694
160	3166	6667
161	3185	6645
162	3204	6624
163	3221	6600
164	3239	6576
165	3259	6557
166	3276	6533
167	3293	6509
168	3310	6483
169	3331	6466
170	3349	6444
171	3368	6422
172	3385	6399
173	3402	6375
174	3420	6352
175	3440	6333
176	3458	6310
177	3476	6289
178	3496	6269
179	3514	6248
180	3532	6226
181	3550	6202
182	3567	6179
183	3584	6155
184	3602	6133
185	3619	6110
186	3639	6090
187	3658	6071
188	3676	6049
189	3694	6028
190	3713	6008
191	3732	5987
192	3750	5966
193	3769	5945
194	3788	5925
195	3805	5902
196	3822	5879
197	3840	5858
198	3857	5834
199	3874	5811
200	3893	5791
201	3912	5771
202	3930	5750
203	3947	5727
204	3964	5704
205	3982	5683
206	3999	5661
207	4018	5641
208	4036	5620
209	4055	5600
210	4075	5581
211	4093	5561
212	4111	5539
213	4130	5520
214	4149	5501
215	4167	5479
216	4187	5460
217	4206	5441
218	4225	5421
219	4244	5402
220	4262	5380
221	4282	5362
222	4301	5343
223	4319	5322
224	4341	5306
225	4362	5288
226	4383	5271
227	4405	5255
228	4422	5233
229	4442	5215
230	4459	5193
231	4475	5169
232	4491	5147
233	4508	5125
234	4525	5103
235	4542	5080
236	4557	5057
237	4574	5035
238	4589	5011
239	4602	4985
240	4617	4962
241	4634	4941
242	4650	4918
243	4667	4896
244	4682	4873
245	4698	4851
246	4714	4829
247	4730	4806
248	4746	4785
249	4763	4763
250	4781	4743
251	4797	4721
252	4813	4699
253	4829	4676
254	4845	4655
255	4862	4634
256	4880	4615
257	4895	4592
258	4912	4571
259	4930	4551
260	4946	4529
261	4962	4507
262	4979	4487
263	4997	4467
264	5015	4447
265	5032	4427
266	5049	4406
267	5066	4386
268	5082	4364
269	5099	4344
270	5115	4323
271	5133	4302
272	5149	4281
273	5163	4259
274	5180	4238
275	5195	4216
276	5211	4195
277	5227	4174
278	5244	4154
279	5261	4134
280	5278	4113
281	5295	4093
282	5312	4073
283	5328	4052
284	5343	4031
285	5359	4010
286	5376	3989
287	5391	3968
288	5409	3949
289	5426	3929
290	5443	3909
291	5462	3891
292	5482	3873
293	5502	3855
294	5522	3837
295	5543	3820
296	5561	3801
297	5590	3789
298	5636	3788
299	5657	3771
300	5682	3757
301	5704	3740
302	5725	3722
303	5744	3704
304	5762	3684
305	5778	3663
306	5793	3642
307	5812	3623
308	5832	3605
309	5854	3588
310	5871	3568
311	5892	3550
312	5915	3534
313	5934	3515
314	5952	3495
315	5970	3476
316	5987	3456
317	6005	3437
318	6025	3418
319	6044	3399
320	6063	3381
321	6080	3361
