model,config,scenario,official_metric,rmse_norm,mae_norm,train_time_seconds
catboost,baseline_depth6,1,0.7692,0.2488,0.1795,18.93
catboost,baseline_depth6,2,0.2742,0.2055,0.1265,15.39
catboost,depth4,1,0.7817,0.2488,0.1808,20.08
catboost,depth4,2,0.2748,0.2058,0.1276,13.64
catboost,depth8,1,0.7509,0.2476,0.1773,29.47
catboost,depth8,2,0.2940,0.2052,0.1276,15.39
lightgbm,default,1,0.7526,0.2489,0.1776,3.47
lightgbm,default,2,0.2941,0.2095,0.1293,2.79
xgboost,default,1,0.7754,0.2480,0.1768,5.51
xgboost,default,2,0.2993,0.2100,0.1293,5.54
nn,default,1,0.9648,0.2999,0.2329,134.76
nn,default,2,0.5815,0.2884,0.2015,243.82
historical_curve,default,1,0.9165,0.2981,0.2375,0.11
historical_curve,default,2,1.0840,0.2997,0.2371,0.11
