feature,importance
country_encoded,9.251023221869287
vol_ratio_6m_12m,4.523131357236466
pre_entry_volatility,4.368918416745884
hospital_rate_x_time,4.105146119702159
n_gxs_bin,4.039469564942217
seasonal_q3_effect,3.511058693315294
vol_ratio_3m_6m,3.19395464623273
seasonal_q4_effect,2.5706446324218777
pre_entry_min_ratio,2.559136711312429
seasonal_q2_effect,2.54864436060157
time_decay,2.5128025422067544
sqrt_months_postgx,2.42869978499256
ther_area,2.397950614925509
pre_entry_trend_norm,2.347082125390289
seasonal_q1_effect,2.315497428298376
hospital_rate,2.136016279941278
pre_entry_max_ratio,2.1249572063192406
seasonal_peak_month,2.1084964943227225
volume_growth_rate,1.967217622840441
hospital_rate_norm,1.9062391497455997
n_gxs,1.8910820498372123
ther_area_encoded,1.8722509312528586
pre_entry_range_ratio,1.7896263455211332
seasonal_ratio,1.7820391788363887
pre_entry_min,1.685971775945545
pre_entry_trend,1.6519463956282947
vol_ratio_3m_12m,1.589829916822129
seasonal_trough_month,1.460637500355352
seasonal_amplitude,1.437389649860929
time_decay_fast,1.399317846382048
main_package,1.3532028182042617
multiple_generics,1.2558133657033148
log_avg_vol_6m,1.1663814558812589
log_n_gxs,1.135881969409128
n_gxs_change_to_12,1.132702220883089
avg_vol_3m,0.8384367037220205
small_molecule,0.8368053128682708
pre_entry_max,0.8017422576672003
log_avg_vol_3m,0.7490933230526499
main_package_encoded,0.7299440632533838
n_gxs_max_forecast,0.6268735553965213
expected_new_generics,0.6222996746045262
n_gxs_at_entry,0.6189748244950072
avg_vol_6m,0.611904012068828
log_n_gxs_at_entry,0.5862176229164031
hospital_rate_bin,0.5320919367119054
hospital_rate_missing,0.5114886576451705
log_avg_vol,0.5087397492330549
has_generic,0.49397602617998015
month_sin,0.4829959259959472
n_gxs_change_to_23,0.4446502865050176
log_n_gxs_max_forecast,0.37916821241896875
months_postgx_sq,0.34668229846560616
many_generics,0.3406886274990874
is_retail_drug,0.3352064492450174
is_late,0.33288550926961896
log_n_gxs_at_month_12,0.3115276373391107
is_oral,0.30087861861531573
month_of_year,0.2762443262134409
is_q3,0.26724532726424083
is_early,0.2615080149687443
month_cos,0.24341441503051214
log_n_gxs_at_month_23,0.21119444366336118
n_gxs_at_month_12,0.2109666541863365
is_injection,0.14433092152376148
biological_x_n_gxs,0.1354800614244157
biological,0.1159984214237503
months_postgx_cube,0.06344428248116213
is_year_end,0.0627677710049635
is_q2,0.045906765764866894
n_gxs_at_month_23,0.03146658404784894
is_q4,0.024326451549612455
is_hospital_drug,0.02168398194072199
quarter,0.020589898457993014
pre_entry_months_available,0.0
is_year_start,0.0
biological_missing,0.0
generic_entry_speed,0.0
had_generic_pre_entry,0.0
is_post_entry,0.0
small_molecule_missing,0.0
n_gxs_pre_cutoff_max,0.0
is_mid,0.0
first_generic_month,0.0
months_since_first_generic,0.0
is_q1,0.0
