feature,importance
hospital_rate,0.5223764
months_postgx_sq,0.49952665
country_encoded,0.493318
hospital_rate_x_time,0.48759615
months_since_first_generic,0.45270324
ther_area_encoded,0.39462912
ther_area,0.39392284
n_gxs,0.38915643
n_gxs_max_forecast,0.3842138
n_gxs_at_month_12,0.38349745
n_gxs_at_month_23,0.38305372
n_gxs_pre_cutoff_max,0.34631813
competition_response,0.3172326
n_gxs_bin,0.3128578
months_postgx_cube,0.28801763
sqrt_months_postgx,0.28438762
erosion_3_5,0.26407427
log_n_gxs,0.2590102
log_n_gxs_at_month_23,0.25163043
log_n_gxs_at_month_12,0.25090307
log_n_gxs_max_forecast,0.24716331
erosion_0_5,0.2364081
month_3_to_5_change,0.23150778
hospital_rate_bin,0.23021314
is_late,0.22830202
is_mid,0.22753328
recovery_magnitude,0.22428086
n_gxs_change_to_23,0.22316918
n_gxs_change_to_12,0.22217408
recovery_signal,0.21390739
expected_new_generics,0.21288922
multiple_generics,0.2077655
n_gxs_at_entry,0.19472456
erosion_0_2,0.1915624
is_retail_drug,0.18736118
hospital_rate_norm,0.17425606
many_generics,0.17322588
month_0_to_3_change,0.16488074
first_generic_month,0.15722336
is_hospital_drug,0.15265837
has_generic,0.1505785
pre_entry_range_ratio,0.14490469
drop_month_0,0.13917945
seasonal_trough_month,0.13194655
pre_entry_max_ratio,0.13180284
log_n_gxs_at_entry,0.13131921
time_decay,0.12714064
is_injection,0.112448424
trend_0_5_norm,0.10390471
time_decay_fast,0.10073781
trend_0_5,0.09384339
pre_entry_volatility,0.09345571
seasonal_peak_month,0.092433915
small_molecule,0.09208308
biological,0.08995333
is_q3,0.08349697
generic_entry_speed,0.08120163
biological_x_n_gxs,0.07927915
month_of_year,0.077094086
seasonal_amplitude,0.07642751
hospital_rate_missing,0.07402987
is_oral,0.070277266
log_avg_vol_6m,0.06906356
log_avg_vol_3m,0.068896145
seasonal_ratio,0.06764411
log_avg_vol,0.06717987
pre_entry_min_ratio,0.06509169
avg_vol_3_5,0.06436481
is_year_end,0.06435732
pre_entry_trend,0.064234346
erosion_per_generic,0.061429325
month_sin,0.05927827
is_q2,0.057708096
month_cos,0.056924887
is_q1,0.05669093
vol_ratio_3m_12m,0.056070026
is_q4,0.05571375
main_package,0.055705372
main_package_encoded,0.05567225
quarter,0.055594917
is_year_start,0.055439185
vol_ratio_6m_12m,0.055028092
seasonal_q1_effect,0.05444423
volume_growth_rate,0.054336276
biological_missing,0.053873032
small_molecule_missing,0.05303468
avg_vol_6m,0.05301347
had_generic_pre_entry,0.05237312
seasonal_q2_effect,0.051951583
is_post_entry,0.051917993
avg_vol_0_5,0.05160899
avg_vol_3m,0.051459014
pre_entry_trend_norm,0.050339162
seasonal_q3_effect,0.05017555
pre_entry_months_available,0.049805846
vol_ratio_3m_6m,0.049435306
pre_entry_min,0.049079593
seasonal_q4_effect,0.048949677
avg_vol_0_2,0.048739884
is_early,0.046989676
pre_entry_max,0.03732701
