feature,importance
erosion_3_5,37.318112664723145
erosion_0_5,8.401293529112968
trend_0_5_norm,5.868550106252144
first_generic_month,3.1000197949956547
country_encoded,2.6165905025154577
time_decay,2.13442619634046
sqrt_months_postgx,2.0187952022745854
time_decay_fast,2.007605923541709
erosion_0_2,1.9201354805503743
recovery_magnitude,1.7230816551519408
pre_entry_trend_norm,1.7191863322366643
ther_area_encoded,1.5166503276844112
vol_ratio_6m_12m,1.489969122109168
vol_ratio_3m_6m,1.3415176208273054
hospital_rate_x_time,1.3231866609392087
drop_month_0,1.214804310188762
is_mid,1.1595067209260081
seasonal_q2_effect,1.1007538735817521
month_0_to_3_change,1.0806318061519709
seasonal_q3_effect,1.0340485781681903
month_3_to_5_change,0.9795269215565227
competition_response,0.9481942713133836
hospital_rate_norm,0.8797618039584141
hospital_rate,0.8092724669687568
n_gxs_change_to_23,0.7198978300858003
pre_entry_max_ratio,0.6977661285580449
seasonal_q1_effect,0.6971166908132747
seasonal_q4_effect,0.6495103256148138
hospital_rate_missing,0.5980388981914143
seasonal_amplitude,0.5973210553937164
is_late,0.5880386540788549
expected_new_generics,0.5732358519296397
seasonal_ratio,0.5613655193714161
n_gxs,0.5209894197523615
erosion_per_generic,0.49447149576071076
pre_entry_min_ratio,0.48537306304447303
volume_growth_rate,0.4585769995438449
months_postgx_sq,0.4417382618523273
vol_ratio_3m_12m,0.41425313299242017
month_sin,0.41243069381916314
n_gxs_at_entry,0.40262747684507577
main_package,0.3561663924090209
log_n_gxs,0.34230103023794467
is_q3,0.308964648358463
biological,0.3039352937945271
pre_entry_max,0.30061470029811654
pre_entry_range_ratio,0.30008632235225075
n_gxs_at_month_12,0.28410304490281674
month_of_year,0.27593677393576976
pre_entry_min,0.26844119182361753
multiple_generics,0.23730438181747726
log_n_gxs_at_entry,0.23510230959658998
n_gxs_change_to_12,0.22056112976802794
seasonal_peak_month,0.2157643114166049
n_gxs_max_forecast,0.21092809645835145
months_since_first_generic,0.20245161394725886
log_n_gxs_max_forecast,0.193505818280108
pre_entry_trend,0.17309776645254432
avg_vol_3_5,0.17147841661919164
trend_0_5,0.17040394947546936
n_gxs_bin,0.1663719705228334
log_avg_vol,0.15123544415046264
month_cos,0.14106849711253514
avg_vol_0_2,0.14096146535759196
ther_area,0.131206224971283
main_package_encoded,0.11240742593979715
is_year_end,0.098455073574076
log_avg_vol_6m,0.0827618255496132
seasonal_trough_month,0.0824335937474506
biological_x_n_gxs,0.07924659576166944
avg_vol_0_5,0.07922482456529445
pre_entry_volatility,0.07781791109417381
quarter,0.07329523523117006
log_avg_vol_3m,0.07232715418130294
log_n_gxs_at_month_12,0.07213468336389628
n_gxs_at_month_23,0.06963401297890857
avg_vol_3m,0.06823379315509616
log_n_gxs_at_month_23,0.05769850541620751
is_retail_drug,0.054279381522433404
n_gxs_pre_cutoff_max,0.05292393335161682
is_hospital_drug,0.04889935684352796
months_postgx_cube,0.04633891358628989
many_generics,0.043267982780980596
generic_entry_speed,0.04226066720237945
hospital_rate_bin,0.04065019653935076
small_molecule,0.03894118950158498
avg_vol_6m,0.031758011095919796
is_q4,0.02126111803447694
is_oral,0.019190337178597233
has_generic,0.01419411402897934
is_post_entry,0.0
is_injection,0.0
is_early,0.0
is_q1,0.0
pre_entry_months_available,0.0
recovery_signal,0.0
small_molecule_missing,0.0
biological_missing,0.0
is_q2,0.0
had_generic_pre_entry,0.0
is_year_start,0.0
