feature,importance
erosion_3_5,10419.674225598574
trend_0_5_norm,498.7850365936756
erosion_0_5,372.6342690885067
time_decay,348.58752819895744
recovery_magnitude,306.54725244641304
is_mid,257.9076807498932
erosion_0_2,249.84557709097862
first_generic_month,223.4943563938141
seasonal_q2_effect,170.1245701611042
drop_month_0,149.38354423642159
month_0_to_3_change,142.9812757074833
ther_area,132.48566979169846
country_encoded,132.146598726511
vol_ratio_3m_6m,127.71653461456299
vol_ratio_6m_12m,125.70746237039566
hospital_rate,122.42256480455399
seasonal_q4_effect,119.21054196357727
volume_growth_rate,115.51368498802185
seasonal_q3_effect,114.47444573044777
pre_entry_trend_norm,113.11197835206985
month_3_to_5_change,110.65429562330246
hospital_rate_x_time,104.6497278213501
seasonal_q1_effect,88.94621467590332
competition_response,82.02958565950394
seasonal_amplitude,80.06629630923271
pre_entry_min_ratio,80.00252199172974
is_late,77.56154823303223
time_decay_fast,68.86881998181343
n_gxs_change_to_12,65.36218187212944
erosion_per_generic,61.98512876033783
expected_new_generics,57.311976850032806
pre_entry_max_ratio,51.64128875732422
n_gxs,47.680199563503265
trend_0_5,47.06507423520088
pre_entry_trend,46.36894389986992
month_of_year,45.83799996972084
pre_entry_range_ratio,42.798882097005844
pre_entry_volatility,41.632269978523254
month_sin,41.5834841132164
months_since_first_generic,37.37143886089325
ther_area_encoded,36.43275535106659
avg_vol_6m,33.49788194894791
n_gxs_at_entry,29.99112695455551
pre_entry_min,29.063419997692108
seasonal_peak_month,26.07513999938965
hospital_rate_missing,25.20497789978981
vol_ratio_3m_12m,23.34678614139557
seasonal_ratio,22.689109146595
n_gxs_at_month_12,21.076611936092377
avg_vol_3m,21.001543819904327
log_n_gxs,18.41951096057892
pre_entry_max,17.33590593934059
seasonal_trough_month,17.285191029310226
is_injection,16.439486920833588
hospital_rate_norm,15.226239770650864
main_package,14.820343911647797
is_q3,14.216945230960846
avg_vol_3_5,13.38054221868515
log_avg_vol,13.32846912741661
n_gxs_pre_cutoff_max,12.27026516199112
biological,10.371835947036743
month_cos,10.22977602481842
months_postgx_sq,7.753710865974426
avg_vol_0_5,6.663194954395294
n_gxs_change_to_23,6.098846912384033
n_gxs_at_month_23,5.54239284992218
log_n_gxs_at_entry,5.2280020117759705
biological_x_n_gxs,4.708442896604538
avg_vol_0_2,4.659364938735962
hospital_rate_bin,4.3438480496406555
sqrt_months_postgx,2.8783069849014282
log_avg_vol_3m,2.2700300216674805
small_molecule,2.1854000091552734
many_generics,2.0174601078033447
is_oral,2.012860059738159
generic_entry_speed,1.7077009677886963
months_postgx_cube,1.37044095993042
is_year_end,0.9827859997749329
quarter,0.9514300227165222
multiple_generics,0.874875009059906
is_q4,0.5534759759902954
n_gxs_max_forecast,0.3466140031814575
biological_missing,0.0
recovery_signal,0.0
small_molecule_missing,0.0
pre_entry_months_available,0.0
log_avg_vol_6m,0.0
is_q1,0.0
is_post_entry,0.0
is_early,0.0
main_package_encoded,0.0
is_retail_drug,0.0
is_hospital_drug,0.0
is_q2,0.0
log_n_gxs_max_forecast,0.0
log_n_gxs_at_month_23,0.0
log_n_gxs_at_month_12,0.0
n_gxs_bin,0.0
has_generic,0.0
had_generic_pre_entry,0.0
is_year_start,0.0
