feature,importance
erosion_3_5,10519.127444066107
trend_0_5_norm,490.2386279851198
erosion_0_5,413.32475094497204
time_decay,387.42357663065195
recovery_magnitude,311.5376557931304
is_mid,277.7255711853504
erosion_0_2,263.73548125475645
drop_month_0,225.2345283702016
first_generic_month,223.58381997793913
seasonal_q2_effect,206.5259776636958
vol_ratio_6m_12m,191.62830483168364
month_0_to_3_change,190.26854149252176
hospital_rate,188.00793374329805
vol_ratio_3m_6m,181.13668508827686
month_3_to_5_change,176.05451352521777
country_encoded,169.12370087206364
volume_growth_rate,165.81253657490015
seasonal_q3_effect,164.77699529379606
seasonal_q4_effect,163.94411738961935
pre_entry_trend_norm,154.6574326083064
seasonal_q1_effect,148.8900667205453
hospital_rate_x_time,143.197076395154
ther_area,137.6013159379363
seasonal_amplitude,136.0125834569335
pre_entry_min_ratio,122.19601887464523
pre_entry_volatility,91.57490821182728
pre_entry_max_ratio,90.98946991562843
pre_entry_trend,84.96419029682875
erosion_per_generic,83.74182886630297
trend_0_5,80.74793524295092
pre_entry_range_ratio,74.12846804410219
time_decay_fast,73.71150743216276
n_gxs_change_to_12,73.38099554926157
competition_response,73.3377232030034
is_late,71.94242271780968
month_of_year,70.19023768603802
n_gxs,62.10337129980326
expected_new_generics,57.20759520679712
pre_entry_min,56.26363817602396
month_sin,55.45600565522909
seasonal_peak_month,52.96466141939163
months_since_first_generic,50.60964382439852
ther_area_encoded,45.035556100308895
avg_vol_6m,44.13606281578541
seasonal_ratio,43.32576596736908
seasonal_trough_month,43.06783290207386
hospital_rate_norm,40.47158231586218
months_postgx_sq,38.354670867323875
month_cos,37.4995898231864
avg_vol_3m,36.725944109261036
main_package,36.23943990468979
pre_entry_max,32.61649375408888
n_gxs_at_month_12,31.43102277815342
n_gxs_pre_cutoff_max,30.096506416797638
avg_vol_0_5,26.8023112565279
months_postgx_cube,26.433747723698616
vol_ratio_3m_12m,26.263456515967846
n_gxs_at_entry,25.895495422184467
hospital_rate_missing,24.493288226425648
avg_vol_3_5,24.29186936467886
is_q3,19.414195761084557
is_injection,19.063450038433075
log_n_gxs,15.078089952468872
log_avg_vol,14.7360300719738
sqrt_months_postgx,11.053751036524773
biological_x_n_gxs,10.962271012365818
avg_vol_0_2,9.893186334520578
n_gxs_change_to_23,8.211479976773262
biological,7.843719162046909
log_avg_vol_3m,7.222627893090248
many_generics,6.65526008605957
small_molecule,6.071307018399239
generic_entry_speed,5.548035979270935
log_n_gxs_at_entry,5.464363977313042
is_q2,3.2612466663122177
quarter,2.9059429988265038
hospital_rate_bin,2.519059896469116
n_gxs_at_month_23,2.392715945839882
n_gxs_max_forecast,2.213239908218384
is_year_end,1.9543205201625824
log_avg_vol_6m,1.7965460121631622
main_package_encoded,1.7282890155911446
is_oral,1.5953350365161896
has_generic,1.3315309882164001
is_year_start,0.2706559896469116
n_gxs_bin,0.266403004527092
multiple_generics,0.15388800203800201
had_generic_pre_entry,0.0
biological_missing,0.0
small_molecule_missing,0.0
recovery_signal,0.0
pre_entry_months_available,0.0
is_q4,0.0
log_n_gxs_at_month_23,0.0
log_n_gxs_max_forecast,0.0
is_post_entry,0.0
is_early,0.0
is_hospital_drug,0.0
is_q1,0.0
is_retail_drug,0.0
log_n_gxs_at_month_12,0.0
