feature,importance
n_gxs,0
has_generic,0
generic_entry_speed,0
had_generic_pre_entry,0
months_since_first_generic,0
first_generic_month,0
n_gxs_pre_cutoff_max,0
n_gxs_at_entry,0
many_generics,0
multiple_generics,0
sqrt_months_postgx,0
log_n_gxs_at_entry,0
time_decay_fast,0
time_decay,0
is_year_start,0
is_year_end,0
is_q4,0
is_q3,0
is_q2,0
is_q1,0
log_n_gxs,0
n_gxs_bin,0
ther_area,0
hospital_rate_norm,0
biological_x_n_gxs,0
country_encoded,0
main_package_encoded,0
ther_area_encoded,0
is_oral,0
is_injection,0
is_retail_drug,0
is_hospital_drug,0
hospital_rate_bin,0
n_gxs_at_month_12,0
log_n_gxs_max_forecast,0
log_n_gxs_at_month_23,0
log_n_gxs_at_month_12,0
expected_new_generics,0
n_gxs_max_forecast,0
n_gxs_change_to_23,0
n_gxs_change_to_12,0
n_gxs_at_month_23,0
quarter,0
month_cos,0
month_sin,0
avg_vol_3m,0
pre_entry_range_ratio,0
pre_entry_min_ratio,0
pre_entry_min,0
pre_entry_max_ratio,0
pre_entry_max,0
pre_entry_volatility,0
pre_entry_trend_norm,0
pre_entry_trend,0
avg_vol_6m,0
month_of_year,0
pre_entry_months_available,0
small_molecule_missing,0
biological_missing,0
hospital_rate_missing,0
small_molecule,0
biological,0
main_package,0
hospital_rate,0
log_avg_vol,0
log_avg_vol_6m,0
log_avg_vol_3m,0
volume_growth_rate,0
is_late,0
is_mid,0
is_early,0
is_post_entry,0
months_postgx_cube,0
months_postgx_sq,0
seasonal_q4_effect,0
seasonal_q3_effect,0
seasonal_q2_effect,0
seasonal_q1_effect,0
seasonal_ratio,0
seasonal_trough_month,0
seasonal_peak_month,0
seasonal_amplitude,0
vol_ratio_3m_6m,0
vol_ratio_3m_12m,0
vol_ratio_6m_12m,0
hospital_rate_x_time,0
