feature,importance
time_decay,2125.0374987125397
country_encoded,1989.692101418972
n_gxs,1473.9762025177479
hospital_rate,1089.8980253636837
vol_ratio_6m_12m,1076.3890708684921
pre_entry_volatility,997.4272437095642
volume_growth_rate,795.3252423107624
pre_entry_trend_norm,740.2626213282347
pre_entry_min_ratio,714.3378439843655
vol_ratio_3m_6m,712.586189776659
time_decay_fast,681.1530245244503
pre_entry_max_ratio,674.760022893548
seasonal_q3_effect,598.3183633685112
hospital_rate_x_time,593.3354884088039
seasonal_q4_effect,563.5845177024603
seasonal_q2_effect,521.7594983130693
seasonal_amplitude,480.87619972229004
seasonal_q1_effect,473.53592616319656
ther_area,464.5556633323431
pre_entry_range_ratio,429.902232080698
seasonal_ratio,367.70653626322746
pre_entry_min,362.2338984310627
months_postgx_sq,360.6775264143944
pre_entry_trend,296.45552283525467
avg_vol_6m,294.183905094862
is_late,281.0445306301117
pre_entry_max,276.5683810710907
hospital_rate_norm,261.916129603982
seasonal_peak_month,261.2404560446739
n_gxs_change_to_12,260.2508650422096
is_early,255.81068003177643
avg_vol_3m,208.85319210588932
seasonal_trough_month,186.29871925711632
n_gxs_at_month_12,177.91883498430252
main_package,170.73896631598473
n_gxs_at_entry,167.662588134408
hospital_rate_missing,129.29705694317818
ther_area_encoded,121.386139690876
log_avg_vol,97.13981139659882
multiple_generics,90.24157249927521
small_molecule,90.22940635681152
log_n_gxs,89.59037932753563
log_n_gxs_at_entry,87.72723054885864
has_generic,68.87874126434326
vol_ratio_3m_12m,64.6947911977768
month_of_year,47.51331800222397
month_sin,43.57767301797867
is_q3,43.42531269788742
is_injection,42.67856019735336
n_gxs_change_to_23,31.459040224552155
biological,30.16552609205246
log_avg_vol_3m,25.882509022951126
biological_x_n_gxs,25.543404072523117
month_cos,24.002885729074478
hospital_rate_bin,21.7289981842041
n_gxs_at_month_23,18.582685828208923
log_n_gxs_at_month_12,18.01276856660843
months_postgx_cube,17.479265570640564
is_retail_drug,14.836519718170166
expected_new_generics,11.520700454711914
main_package_encoded,10.908359944820404
is_oral,10.748845726251602
sqrt_months_postgx,10.31182199716568
many_generics,8.77718985080719
is_q2,1.762233942747116
n_gxs_bin,1.402910053730011
quarter,1.0444200038909912
n_gxs_max_forecast,0.7419970035552979
is_mid,0.6708620190620422
is_post_entry,0.0
log_avg_vol_6m,0.0
pre_entry_months_available,0.0
is_q4,0.0
small_molecule_missing,0.0
n_gxs_pre_cutoff_max,0.0
biological_missing,0.0
first_generic_month,0.0
is_hospital_drug,0.0
months_since_first_generic,0.0
had_generic_pre_entry,0.0
log_n_gxs_max_forecast,0.0
log_n_gxs_at_month_23,0.0
generic_entry_speed,0.0
is_q1,0.0
is_year_end,0.0
is_year_start,0.0
