iter	RMSE
0	0.2936830291
1	0.2848800175
2	0.2767203251
3	0.2692893411
4	0.2618999246
5	0.2552631282
6	0.2489317661
7	0.2429302093
8	0.2377231664
9	0.2324200355
10	0.2277341057
11	0.2232360901
12	0.2191955243
13	0.2151931617
14	0.2116315079
15	0.2082700028
16	0.2049780895
17	0.2019966964
18	0.1993190068
19	0.196797681
20	0.1944298961
21	0.1921037976
22	0.1902114416
23	0.1883880891
24	0.1866230137
25	0.1848883572
26	0.1833349103
27	0.1818669424
28	0.1804718014
29	0.1792725538
30	0.1780621092
31	0.176985826
32	0.1759926649
33	0.1750010396
34	0.1739683279
35	0.1728813106
36	0.1720467782
37	0.17108427
38	0.1703540355
39	0.1696594411
40	0.1689510209
41	0.1682219401
42	0.1676547729
43	0.1670582461
44	0.1663533255
45	0.1657847162
46	0.1652266687
47	0.1647509647
48	0.1642574861
49	0.1637081497
50	0.1632515926
51	0.1626522717
52	0.162173777
53	0.1617426398
54	0.1613728543
55	0.1608899236
56	0.1604608652
57	0.1600832667
58	0.1597314731
59	0.1593745308
60	0.1590152839
61	0.1586793694
62	0.1582833482
63	0.1579793556
64	0.157655565
65	0.1573246341
66	0.1570556487
67	0.1568376623
68	0.1565449398
69	0.1562761126
70	0.1560350694
71	0.1557850713
72	0.1555068939
73	0.1552577834
74	0.1550179207
75	0.1548064874
76	0.1545283175
77	0.1542854427
78	0.1540166646
79	0.1537877376
80	0.1534569841
81	0.1531770844
82	0.1529815916
83	0.1527585683
84	0.1525482899
85	0.1523610972
86	0.1521531288
87	0.1519212969
88	0.15173232
89	0.1515391682
90	0.1513298423
91	0.1511415153
92	0.1509194378
93	0.1507476784
94	0.1506362862
95	0.1504737963
96	0.1502789386
97	0.1501520929
98	0.1499395976
99	0.1497452323
100	0.1495902185
101	0.1494085252
102	0.1491089534
103	0.1489122973
104	0.1487522728
105	0.1485624936
106	0.1484275702
107	0.1482847238
108	0.1481197522
109	0.1479900075
110	0.147811121
111	0.1476752792
112	0.1475339621
113	0.1473589384
114	0.1471634561
115	0.1470280603
116	0.1468507645
117	0.1467020089
118	0.1465715136
119	0.1464592876
120	0.1463139123
121	0.1461860682
122	0.1460554472
123	0.1458699798
124	0.1457380392
125	0.1455980953
126	0.1454532599
127	0.1453076381
128	0.1451820107
129	0.1450025207
130	0.1448915427
131	0.1447820747
132	0.1446153564
133	0.1444676397
134	0.1443744016
135	0.1442166236
136	0.1441286964
137	0.1439239364
138	0.1437562738
139	0.1436175197
140	0.1434845416
141	0.1433684454
142	0.1430943991
143	0.1429778687
144	0.1428445568
145	0.1427288136
146	0.1425633655
147	0.1424948133
148	0.1422996127
149	0.1421678983
150	0.1420618181
151	0.1419279728
152	0.1417949397
153	0.141667628
154	0.1415207011
155	0.1413982036
156	0.1412822646
157	0.1411335495
158	0.1409693059
159	0.1408486466
160	0.1407332021
161	0.1406356632
162	0.1405335732
163	0.1403913043
164	0.1402991758
165	0.1401277285
166	0.1400196402
167	0.1399349705
168	0.1397777007
169	0.1397099665
170	0.1396403178
171	0.1395535117
172	0.139403643
173	0.1392877963
174	0.1391685108
175	0.1391106118
176	0.1389805305
177	0.1388814177
178	0.1387816951
179	0.1387143891
180	0.138617487
181	0.1384618724
182	0.138317202
183	0.1382628471
184	0.1381574685
185	0.1380738546
186	0.1379720237
187	0.1378600157
188	0.1377440112
189	0.1375910512
190	0.1374748479
191	0.1373390722
192	0.1372435649
193	0.137092546
194	0.1370072291
195	0.136864689
196	0.1367347599
197	0.1365476722
198	0.1363658489
199	0.1362809609
200	0.1361443225
201	0.1359895414
202	0.1358590619
203	0.1357713697
204	0.1357075141
205	0.1355804586
206	0.1355142787
207	0.1354442681
208	0.1353712105
209	0.1352646139
210	0.1351578765
211	0.1350774125
212	0.1349736712
213	0.1348686373
214	0.1347740347
215	0.1345997204
216	0.1344107862
217	0.1343244854
218	0.1341850412
219	0.1341127382
220	0.1339302032
221	0.1338097846
222	0.1336982904
223	0.1335899017
224	0.1335035314
225	0.1333787927
226	0.133292867
227	0.1331834451
228	0.1330608154
229	0.1329797228
230	0.1328793073
231	0.1327436566
232	0.1326520225
233	0.1325781044
234	0.1324711811
235	0.1323549767
236	0.1322340913
237	0.1321718763
238	0.1321056219
239	0.1319795294
240	0.1318681125
241	0.1317106834
242	0.1316337809
243	0.1315434598
244	0.1314567818
245	0.1313514452
246	0.1312608956
247	0.131145064
248	0.1310414715
249	0.1308642192
250	0.1308040918
251	0.1307159684
252	0.1306153842
253	0.1305087229
254	0.1303634209
255	0.130239977
256	0.130146813
257	0.1300799772
258	0.1299863021
