country,brand_name,months_postgx,n_gxs
COUNTRY_PHARMACY_ID,AI-0001,0,1.0
COUNTRY_PHARMACY_ID,AI-0001,1,1.0
COUNTRY_PHARMACY_ID,AI-0001,2,1.0
COUNTRY_PHARMACY_ID,AI-0001,3,1.0
COUNTRY_PHARMACY_ID,AI-0001,4,1.0
COUNTRY_PHARMACY_ID,AI-0001,5,1.0
COUNTRY_PHARMACY_ID,AI-0001,6,1.0
COUNTRY_PHARMACY_ID,AI-0010,0,1.0
COUNTRY_PHARMACY_ID,AI-0011,0,1.0
COUNTRY_PHARMACY_ID,AI-0011,1,1.0
COUNTRY_PHARMACY_ID,AI-0011,2,1.0
COUNTRY_PHARMACY_ID,AI-0011,3,1.0
COUNTRY_PHARMACY_ID,AI-0011,4,1.0
COUNTRY_PHARMACY_ID,AI-0011,5,1.0
COUNTRY_PHARMACY_ID,AI-0011,6,1.0
COUNTRY_PHARMACY_ID,AI-0011,7,1.0
COUNTRY_PHARMACY_ID,AI-0011,8,1.0
COUNTRY_PHARMACY_ID,AI-0024,0,1.0
COUNTRY_PHARMACY_ID,AI-0024,1,1.0
COUNTRY_PHARMACY_ID,AI-0024,2,1.0
COUNTRY_PHARMACY_ID,AI-0024,3,1.0
COUNTRY_PHARMACY_ID,AI-0024,4,1.0
COUNTRY_PHARMACY_ID,AI-0024,5,1.0
COUNTRY_PHARMACY_ID,AI-0024,6,1.0
COUNTRY_PHARMACY_ID,AI-0024,7,1.0
COUNTRY_PHARMACY_ID,AI-0024,8,1.0
COUNTRY_PHARMACY_ID,AI-0024,9,1.0
COUNTRY_PHARMACY_ID,AI-0024,10,1.0
COUNTRY_PHARMACY_ID,AI-0024,11,1.0
COUNTRY_PHARMACY_ID,AI-0025,0,1.0
COUNTRY_PHARMACY_ID,AI-0025,1,1.0
COUNTRY_PHARMACY_ID,AI-0025,2,1.0
COUNTRY_PHARMACY_ID,AI-0025,3,1.0
COUNTRY_PHARMACY_ID,AI-0025,4,1.0
COUNTRY_PHARMACY_ID,AI-0025,5,1.0
COUNTRY_PHARMACY_ID,AI-0025,6,1.0
COUNTRY_PHARMACY_ID,AI-0025,7,1.0
COUNTRY_PHARMACY_ID,AI-0025,8,1.0
COUNTRY_PHARMACY_ID,AI-0025,9,1.0
COUNTRY_PHARMACY_ID,AI-0025,10,1.0
COUNTRY_PHARMACY_ID,AI-0025,11,1.0
COUNTRY_PHARMACY_ID,AI-0027,0,1.0
COUNTRY_PHARMACY_ID,AI-0027,1,1.0
COUNTRY_PHARMACY_ID,AI-0027,2,1.0
COUNTRY_PHARMACY_ID,AI-0027,3,1.0
COUNTRY_PHARMACY_ID,AI-0027,4,1.0
COUNTRY_PHARMACY_ID,AI-0027,5,1.0
COUNTRY_PHARMACY_ID,AI-0027,6,1.0
COUNTRY_PHARMACY_ID,AI-0027,7,1.0
COUNTRY_PHARMACY_ID,AI-0027,8,1.0
COUNTRY_PHARMACY_ID,AI-0027,9,1.0
COUNTRY_PHARMACY_ID,AI-0027,10,1.0
COUNTRY_PHARMACY_ID,AI-0027,11,1.0
COUNTRY_PHARMACY_ID,AI-0028,0,1.0
COUNTRY_PHARMACY_ID,AI-0028,1,1.0
COUNTRY_PHARMACY_ID,AI-0028,2,1.0
COUNTRY_PHARMACY_ID,AI-0028,3,1.0
COUNTRY_PHARMACY_ID,AI-0029,0,1.0
COUNTRY_PHARMACY_ID,AI-0031,0,1.0
COUNTRY_PHARMACY_ID,AI-0031,1,1.0
COUNTRY_PHARMACY_ID,AI-0031,2,1.0
COUNTRY_PHARMACY_ID,AI-0031,3,1.0
COUNTRY_PHARMACY_ID,AI-0031,4,1.0
COUNTRY_PHARMACY_ID,AI-0031,5,1.0
COUNTRY_PHARMACY_ID,AI-0031,6,1.0
COUNTRY_PHARMACY_ID,AI-0032,0,1.0
COUNTRY_PHARMACY_ID,AI-0032,1,1.0
COUNTRY_PHARMACY_ID,AI-0032,2,1.0
COUNTRY_PHARMACY_ID,AI-0032,3,1.0
COUNTRY_PHARMACY_ID,AI-0032,4,1.0
COUNTRY_PHARMACY_ID,AI-0032,5,1.0
COUNTRY_PHARMACY_ID,AI-0032,6,1.0
COUNTRY_PHARMACY_ID,AI-0032,7,1.0
COUNTRY_PHARMACY_ID,AI-0032,8,1.0
COUNTRY_PHARMACY_ID,AI-0033,0,1.0
COUNTRY_PHARMACY_ID,AI-0033,1,1.0
COUNTRY_PHARMACY_ID,AI-0033,2,1.0
COUNTRY_PHARMACY_ID,AI-0033,3,1.0
COUNTRY_PHARMACY_ID,AI-0033,4,1.0
COUNTRY_PHARMACY_ID,AI-0033,5,1.0
COUNTRY_PHARMACY_ID,AI-0033,6,1.0
COUNTRY_PHARMACY_ID,AI-0033,7,1.0
COUNTRY_PHARMACY_ID,AI-0033,8,1.0
COUNTRY_PHARMACY_ID,AI-0033,9,1.0
COUNTRY_PHARMACY_ID,AI-0033,10,1.0
COUNTRY_PHARMACY_ID,AI-0033,11,1.0
COUNTRY_PHARMACY_ID,AI-0039,0,1.0
COUNTRY_PHARMACY_ID,AI-0039,1,1.0
COUNTRY_PHARMACY_ID,AI-0039,2,1.0
COUNTRY_PHARMACY_ID,AI-0039,3,1.0
COUNTRY_PHARMACY_ID,AI-0039,4,1.0
COUNTRY_PHARMACY_ID,AI-0039,5,1.0
COUNTRY_PHARMACY_ID,AI-0039,6,1.0
COUNTRY_PHARMACY_ID,AI-0039,7,1.0
COUNTRY_PHARMACY_ID,AI-0039,8,1.0
COUNTRY_PHARMACY_ID,AI-0039,9,1.0
COUNTRY_PHARMACY_ID,AI-0039,10,1.0
COUNTRY_PHARMACY_ID,AI-0039,11,1.0
COUNTRY_PHARMACY_ID,AI-0043,0,1.0
COUNTRY_PHARMACY_ID,AI-0043,1,1.0
COUNTRY_PHARMACY_ID,AI-0043,2,1.0
COUNTRY_PHARMACY_ID,AI-0043,3,1.0
COUNTRY_PHARMACY_ID,AI-0043,4,1.0
COUNTRY_PHARMACY_ID,AI-0043,5,1.0
COUNTRY_PHARMACY_ID,AI-0043,6,1.0
COUNTRY_PHARMACY_ID,AI-0043,7,1.0
COUNTRY_PHARMACY_ID,AI-0043,8,1.0
COUNTRY_PHARMACY_ID,AI-0043,9,1.0
COUNTRY_PHARMACY_ID,AI-0043,10,1.0
COUNTRY_PHARMACY_ID,AI-0043,11,1.0
COUNTRY_PHARMACY_ID,AI-0049,0,1.0
COUNTRY_PHARMACY_ID,AI-0049,1,1.0
COUNTRY_PHARMACY_ID,AI-0049,2,1.0
COUNTRY_PHARMACY_ID,AI-0049,3,1.0
COUNTRY_PHARMACY_ID,AI-0049,4,1.0
COUNTRY_PHARMACY_ID,AI-0049,5,1.0
COUNTRY_PHARMACY_ID,AI-0049,6,1.0
COUNTRY_PHARMACY_ID,AI-0049,7,1.0
COUNTRY_PHARMACY_ID,AI-0049,8,1.0
COUNTRY_PHARMACY_ID,AI-0049,9,1.0
COUNTRY_PHARMACY_ID,AI-0050,0,1.0
COUNTRY_PHARMACY_ID,AI-0050,1,1.0
COUNTRY_PHARMACY_ID,AI-0050,2,1.0
COUNTRY_PHARMACY_ID,AI-0050,3,1.0
COUNTRY_PHARMACY_ID,AI-0050,4,1.0
COUNTRY_PHARMACY_ID,AI-0050,5,1.0
COUNTRY_PHARMACY_ID,AI-0050,6,1.0
COUNTRY_PHARMACY_ID,AI-0050,7,1.0
COUNTRY_PHARMACY_ID,AI-0050,8,1.0
COUNTRY_PHARMACY_ID,AI-0050,9,1.0
COUNTRY_PHARMACY_ID,AI-0050,10,1.0
COUNTRY_PHARMACY_ID,AI-0050,11,1.0
COUNTRY_PHARMACY_ID,AI-0051,0,1.0
COUNTRY_PHARMACY_ID,AI-0051,1,1.0
COUNTRY_PHARMACY_ID,AI-0051,2,1.0
COUNTRY_PHARMACY_ID,AI-0051,3,1.0
COUNTRY_PHARMACY_ID,AI-0051,4,1.0
COUNTRY_PHARMACY_ID,AI-0051,5,1.0
COUNTRY_PHARMACY_ID,AI-0051,6,1.0
COUNTRY_PHARMACY_ID,AI-0051,7,1.0
COUNTRY_PHARMACY_ID,AI-0051,8,1.0
COUNTRY_PHARMACY_ID,AI-0051,9,1.0
COUNTRY_PHARMACY_ID,AI-0051,10,1.0
COUNTRY_PHARMACY_ID,AI-0051,11,1.0
COUNTRY_PHARMACY_ID,AI-0052,0,1.0
COUNTRY_PHARMACY_ID,AI-0052,1,1.0
COUNTRY_PHARMACY_ID,AI-0052,2,1.0
COUNTRY_PHARMACY_ID,AI-0052,3,1.0
COUNTRY_PHARMACY_ID,AI-0052,4,1.0
COUNTRY_PHARMACY_ID,AI-0052,5,1.0
COUNTRY_PHARMACY_ID,AI-0052,6,1.0
COUNTRY_PHARMACY_ID,AI-0052,7,1.0
COUNTRY_PHARMACY_ID,AI-0052,8,1.0
COUNTRY_PHARMACY_ID,AI-0052,9,1.0
COUNTRY_PHARMACY_ID,AI-0052,10,1.0
