country,brand_name,month,months_postgx,volume
COUNTRY_PHARMACY_ID,AI-0001,Jun,0,6.0
COUNTRY_PHARMACY_ID,AI-0001,Jul,1,25.0
COUNTRY_PHARMACY_ID,AI-0001,Aug,2,8.0
COUNTRY_PHARMACY_ID,AI-0001,Sep,3,16.0
COUNTRY_PHARMACY_ID,AI-0001,Oct,4,31.0
COUNTRY_PHARMACY_ID,AI-0001,Nov,5,91.0
COUNTRY_PHARMACY_ID,AI-0001,Dec,6,45.0
COUNTRY_PHARMACY_ID,AI-0010,Aug,0,30.0
COUNTRY_PHARMACY_ID,AI-0011,Mar,0,30.0
COUNTRY_PHARMACY_ID,AI-0011,May,1,30.0
COUNTRY_PHARMACY_ID,AI-0011,Jun,2,150.0
COUNTRY_PHARMACY_ID,AI-0011,Jul,3,60.0
COUNTRY_PHARMACY_ID,AI-0011,Aug,4,90.0
COUNTRY_PHARMACY_ID,AI-0011,Sep,5,150.0
COUNTRY_PHARMACY_ID,AI-0011,Oct,6,165.0
COUNTRY_PHARMACY_ID,AI-0011,Nov,7,203.0
COUNTRY_PHARMACY_ID,AI-0011,Dec,8,60.0
COUNTRY_PHARMACY_ID,AI-0024,Jan,0,47.0
COUNTRY_PHARMACY_ID,AI-0024,Feb,1,202.0
COUNTRY_PHARMACY_ID,AI-0024,Mar,2,61.0
COUNTRY_PHARMACY_ID,AI-0024,Apr,3,245.0
COUNTRY_PHARMACY_ID,AI-0024,May,4,74.0
COUNTRY_PHARMACY_ID,AI-0024,Jun,5,119.0
COUNTRY_PHARMACY_ID,AI-0024,Jul,6,132.0
COUNTRY_PHARMACY_ID,AI-0024,Aug,7,75.0
COUNTRY_PHARMACY_ID,AI-0024,Sep,8,121.0
COUNTRY_PHARMACY_ID,AI-0024,Oct,9,78.0
COUNTRY_PHARMACY_ID,AI-0024,Nov,10,91.0
COUNTRY_PHARMACY_ID,AI-0024,Dec,11,135.0
COUNTRY_PHARMACY_ID,AI-0025,Jan,0,292.0
COUNTRY_PHARMACY_ID,AI-0025,Feb,1,301.0
COUNTRY_PHARMACY_ID,AI-0025,Mar,2,315.0
COUNTRY_PHARMACY_ID,AI-0025,Apr,3,434.0
COUNTRY_PHARMACY_ID,AI-0025,May,4,387.0
COUNTRY_PHARMACY_ID,AI-0025,Jun,5,534.0
COUNTRY_PHARMACY_ID,AI-0025,Jul,6,271.0
COUNTRY_PHARMACY_ID,AI-0025,Aug,7,414.0
COUNTRY_PHARMACY_ID,AI-0025,Sep,8,331.0
COUNTRY_PHARMACY_ID,AI-0025,Oct,9,478.0
COUNTRY_PHARMACY_ID,AI-0025,Nov,10,344.0
COUNTRY_PHARMACY_ID,AI-0025,Dec,11,864.0
COUNTRY_PHARMACY_ID,AI-0027,Jan,0,61.0
COUNTRY_PHARMACY_ID,AI-0027,Feb,1,308.0
COUNTRY_PHARMACY_ID,AI-0027,Mar,2,129.0
COUNTRY_PHARMACY_ID,AI-0027,Apr,3,346.0
COUNTRY_PHARMACY_ID,AI-0027,May,4,251.0
COUNTRY_PHARMACY_ID,AI-0027,Jun,5,478.0
COUNTRY_PHARMACY_ID,AI-0027,Jul,6,438.0
COUNTRY_PHARMACY_ID,AI-0027,Aug,7,643.0
COUNTRY_PHARMACY_ID,AI-0027,Sep,8,889.0
COUNTRY_PHARMACY_ID,AI-0027,Oct,9,990.0
COUNTRY_PHARMACY_ID,AI-0027,Nov,10,825.0
COUNTRY_PHARMACY_ID,AI-0027,Dec,11,1218.0
COUNTRY_PHARMACY_ID,AI-0028,Mar,0,39.0
COUNTRY_PHARMACY_ID,AI-0028,Apr,1,9.0
COUNTRY_PHARMACY_ID,AI-0028,Jun,2,18.0
COUNTRY_PHARMACY_ID,AI-0028,Jul,3,6.0
COUNTRY_PHARMACY_ID,AI-0029,Sep,0,19.0
COUNTRY_PHARMACY_ID,AI-0031,Jun,0,7.0
COUNTRY_PHARMACY_ID,AI-0031,Jul,1,11.0
COUNTRY_PHARMACY_ID,AI-0031,Aug,2,20.0
COUNTRY_PHARMACY_ID,AI-0031,Sep,3,30.0
COUNTRY_PHARMACY_ID,AI-0031,Oct,4,24.0
COUNTRY_PHARMACY_ID,AI-0031,Nov,5,15.0
COUNTRY_PHARMACY_ID,AI-0031,Dec,6,16.0
COUNTRY_PHARMACY_ID,AI-0032,Jan,0,9.0
COUNTRY_PHARMACY_ID,AI-0032,Feb,1,9.0
COUNTRY_PHARMACY_ID,AI-0032,Mar,2,3.0
COUNTRY_PHARMACY_ID,AI-0032,Apr,3,52.0
COUNTRY_PHARMACY_ID,AI-0032,May,4,16.0
COUNTRY_PHARMACY_ID,AI-0032,Jun,5,17.0
COUNTRY_PHARMACY_ID,AI-0032,Sep,6,10.0
COUNTRY_PHARMACY_ID,AI-0032,Oct,7,40.0
COUNTRY_PHARMACY_ID,AI-0032,Dec,8,6.0
